user,total_amount,liquid_amount,vested_amount
0xa0471c49e3E5Bd3eFc83E34721b3e0aD2BdC71A6,401,64.16,336.84
0x02E7b714fae84e4BA80f3CDa5508553e7CF5042A,7396,1183.36,6212.64
0x7a1d055cb90e227af2c676f55dba7dea8cca9fbf,1389,222.24,1166.76
0x89017e5DcE81F889d4313AEC4e2B65B9539c8741,3117,498.72,2618.28
0x5d33bFdAfc7640cBa9Ef2767F051ABfB064F3573,675,108,567
0x76F480563fA44A6070c65Ff5BB4a2365204315d4,2379,380.64,1998.36
0xf14f06bc7665c8dc9fadca7f447670cee7adaa35,259,41.44,217.56
0x0Dbc2990912d355B813706733E971c3667FC20a0,3596,575.36,3020.64
0xb13B91faAbe318744c5FFFcFEc9F605515f94b6D,227,36.32,190.68
0x084c9515Cdf33745Df6d5f5f94ffc5B0a15C2d16,1069,171.04,897.96
0x7ce5A930b52eB64b6D9dB554061218EA7602313f,338,54.08,283.92
0x7ddF181E6b2610E079A8E91E8cf7E0024D7aEc63,2990,478.4,2511.6
0xeA09CFC7239476AB030B649D5CEFdB786f0e7412,2375,380,1995
0x5eC8Cd4881eba87279f5F243Eb89EA9383E677c6,2642,422.72,2219.28
0xbE160f86C4e6C989874F4a1b022852a15bfC3c14,2163,346.08,1816.92
0xad61e60ed8e8ad1cbfe6fcd1afe51d2a8d80f704,527,84.32,442.68
0x462bbbd98ff9bd45f1c52cb78601d50f43851bed,452,72.32,379.68
0x7fF567a16a6513017aAe5434c2989614a155ABE0,239,38.24,200.76
0x9DA89E29ab90c95eFB8B4Aa30825C7BfDbab80B8,1249,199.84,1049.16
0xd82c719dAc18f8746F7787fE82ec0915Ac396838,833,133.28,699.72
0x38761BF075CDC91bF826577067652301795c2471,477,76.32,400.68
0xBCdad996B5DcdC7D1b4824db19684851488D88Ab,693,110.88,582.12
0x2F486cD2711fed55ecc481a5a0aC62001EbFB16c,4003,640.48,3362.52
0x21bc7c2FadBBbFEEC6683e436C728CB04e889E1E,7396,1183.36,6212.64
