user,total_amount,liquid_amount,vested_amount
0xb4fb31e7b1471a8e52dd1e962a281a732ead59c1,66767000000000000000000,10682000000000000000000,56085000000000000000000
0xc03d7825d2b3ec9d73d581802ab49301c4ebb4d5,52794000000000000000000,8447000000000000000000,44347000000000000000000
0x0399e7720626dd7a7b0577771486f25f573cac09,32923000000000000000000,5267000000000000000000,27656000000000000000000
0x243807b03802c05dfc84003a6b01aa41d7d0a8b7,23822000000000000000000,3811000000000000000000,20011000000000000000000
0xa4fc1516a78bb510b41c18393d113a0a5e7387ab,26945000000000000000000,4311000000000000000000,22634000000000000000000
0x7173ce51d1b494320229e06bbdbe0da258b9b547,22650000000000000000000,3624000000000000000000,19026000000000000000000
0x5ec6abff9bb4c673f63d077a962a29945f744857,72619000000000000000000,11619000000000000000000,61000000000000000000000
0xc7bfd896cc6a8bf1d09486dd08f590691b20c2ff,25199000000000000000000,4031000000000000000000,21168000000000000000000
0xc39aeebb3d6ecea6b1cddf56dc47c3d29e2ff784,32840000000000000000000,5254000000000000000000,27586000000000000000000
0x321b821af7f354b879b04cdfaed6de42ab3d0b3b,21016000000000000000000,3362000000000000000000,17654000000000000000000
0x759f0898a00d6eba6da9a783bf6bebeecef6fb78,38204000000000000000000,6112000000000000000000,32092000000000000000000
0xb9779aec32f4cbf376f325d8c393b0d2711874ed,61716000000000000000000,9874000000000000000000,51842000000000000000000
0x111cfa7806e104e7e38497640049032cab476924,41294000000000000000000,6607000000000000000000,34687000000000000000000
0xb3b45cbc7b4650035a15c4e858bf7c21667a4741,53360000000000000000000,8537000000000000000000,44823000000000000000000
0x0910ea77a0b247302ec68ccc824a897d96b2d8c9,40402000000000000000000,6464000000000000000000,33938000000000000000000
0xcf7841fd47bf33004b07ede874e7afc714616231,20809000000000000000000,3329000000000000000000,17480000000000000000000
0x78bccd5d99c37c74e5b820a3a1627aaee7871567,25482000000000000000000,4077000000000000000000,21405000000000000000000
0xa329ac2efffea563159897d7828866cfaed42167,45592000000000000000000,7294000000000000000000,38298000000000000000000
0x7a4115f70d0d0f0a373e58a957696f850748cd94,25476000000000000000000,4076000000000000000000,21400000000000000000000
0xefc0f8be7afd2eb878956450d1f484cfb3368417,21525000000000000000000,3444000000000000000000,18081000000000000000000
0xbb226555fbb98850273b10b0cf55ad2f99966d20,41182000000000000000000,6589000000000000000000,34593000000000000000000
0xbf891e7efcc98a8239385d3172ba10ad593c7886,30884000000000000000000,4941000000000000000000,25943000000000000000000
0xd3b02d999c681bd8b75f340fa7e078ce9097bf23,36612000000000000000000,5857000000000000000000,30755000000000000000000
0x794c0922a6d97bd042973e2f0715dada8381b810,12829000000000000000000,2052000000000000000000,10777000000000000000000
0x3ec6732676db7996c1b34e64b0503f941025cb63,14955000000000000000000,2392000000000000000000,12563000000000000000000
0x21c8dc59f2e9a11c4c1a0c310641968132c6b1be,15760000000000000000000,2521000000000000000000,13239000000000000000000
0xd9da13de745bfa50ffaafd0a531b92f0511b72cf,19506000000000000000000,3120000000000000000000,16386000000000000000000
0xc2aceeff91a13394b302d448fc1f73193f145591,15819000000000000000000,2531000000000000000000,13288000000000000000000
0x1914717974224765b85636159d48f46dbbdbde27,13185000000000000000000,2109000000000000000000,11076000000000000000000
0xa53a13a80d72a855481de5211e7654fabdfe3526,17390000000000000000000,2782000000000000000000,14608000000000000000000
0x3e23fb0715e9be36eb8d02ce7e50dde80494a90b,15957000000000000000000,2553000000000000000000,13404000000000000000000
0xc0fcaf4c8c39a168d34250706ac960809ef4cf83,20023000000000000000000,3203000000000000000000,16820000000000000000000
