user,total_amount,liquid_amount,vested_amount
0x2d876806411a36407350a626bf42d62c82b7d005,30570000000000000000000,4891000000000000000000,25679000000000000000000
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,22393000000000000000000,3582000000000000000000,18811000000000000000000
0x96e2ec12574eff99385079c95407563626cf9713,24109000000000000000000,3857000000000000000000,20252000000000000000000
0x4bf107d6d2b0b15f3f78f35600932df48509da2f,24490000000000000000000,3918000000000000000000,20572000000000000000000
0x1003977a308a40c076637f5b7a45db5c75db3782,25271000000000000000000,4043000000000000000000,21228000000000000000000
0x142063f9ff8c585ff172f71f2ce30398969674aa,16611000000000000000000,2657000000000000000000,13954000000000000000000
0xa8690dfb2fd8c3cee0dcf08443df05296768f949,13014000000000000000000,2082000000000000000000,10932000000000000000000
0xe9b2fc5f89ca0f6f88122feb3f88f5308b86c7a0,14005000000000000000000,2240000000000000000000,11765000000000000000000
0x7552ab18f8de66a51801d040b98afb0db5e38141,10089000000000000000000,1614000000000000000000,8475000000000000000000
0xd5f4cbfadb349be5dba580f9360eb6867a1d590e,9531000000000000000000,1524000000000000000000,8007000000000000000000
0x285fed35cbea271a711681e84ffd83c68a596a75,9830000000000000000000,1572000000000000000000,8258000000000000000000
0xab07f7c93713d0864e7547c66d706b687b6300af,10613000000000000000000,1698000000000000000000,8915000000000000000000
0x07a318a09bf29c336b808a2477f8ef6382a942be,10943000000000000000000,1750000000000000000000,9193000000000000000000
0x891a144965c72c50201bf06f851d3a25d1d07946,11428000000000000000000,1828000000000000000000,9600000000000000000000
0x16e74b3b60406949a0e98407300a1e6eee23acac,8261000000000000000000,1321000000000000000000,6940000000000000000000
0xe682d016d72ceaf06241058ba1b793fc39c72564,9068000000000000000000,1450000000000000000000,7618000000000000000000
0x54df9eedd4bca708c98a4b2f35e979af9452cfcc,7738000000000000000000,1238000000000000000000,6500000000000000000000
0xc39f52b4075c82bd69742909505a352af54f5e5b,7173000000000000000000,1147000000000000000000,6026000000000000000000
0xa3a772d1e714be8c52d0b8929952728a93666ccd,6978000000000000000000,1116000000000000000000,5862000000000000000000
0x308fd47d492cf32d0f504c2a3e82bc25583b455b,7484000000000000000000,1197000000000000000000,6287000000000000000000
0xee4434d02edfd727843a507c1d3714560a8660e4,5985000000000000000000,957000000000000000000,5028000000000000000000
0xbacb1b5aa23d701e812c08f45ba09d6e6c17631e,6371000000000000000000,1019000000000000000000,5352000000000000000000
0x8577f829a70668eb40a98c6ce80e682dda27b6e2,6175000000000000000000,988000000000000000000,5187000000000000000000
0xa9f688a30814f55810504ebb51d886f2cd9144ef,6173000000000000000000,987000000000000000000,5186000000000000000000
0x0bee06fba2660dd41fdb7b950f0592bbcd7f0fcc,6463000000000000000000,1034000000000000000000,5429000000000000000000
0x29885b9fa1f20dd18c88fda5d6682339379b916d,6477000000000000000000,1036000000000000000000,5441000000000000000000
0x691743ddfe003f6a0c131f3dcd165d53e7122be6,5583000000000000000000,893000000000000000000,4690000000000000000000
0x9621d12d63be2b9fbfb1fb03f623e3d9b52e9df9,5293000000000000000000,846000000000000000000,4447000000000000000000
0x514259c9f46d24c6b2564bc95280888b98755164,5264000000000000000000,842000000000000000000,4422000000000000000000
0x87f16c31e32ae543278f5194cf94862f1cb1eee0,5557000000000000000000,889000000000000000000,4668000000000000000000
0x6bd5b4ce070bffbb8fa9d138df171aaef724f8ee,5748000000000000000000,919000000000000000000,4829000000000000000000
0x574b4546cb756a8d36edf5907f4cc963a3cab612,5575000000000000000000,892000000000000000000,4683000000000000000000
0x4eb8f786162e206fcbfb7baece4d47fcb6b068e2,5058000000000000000000,809000000000000000000,4249000000000000000000
0x4688b6f3c384c3cffe95c92f599213de4a9fa9ca,5016000000000000000000,802000000000000000000,4214000000000000000000
0xc6325f5da5599974aa22d2eae00fc96231aa2f5e,5164000000000000000000,826000000000000000000,4338000000000000000000
0xd67712c564233d3e88a5c98c936b055cdf81a87d,4692000000000000000000,750000000000000000000,3942000000000000000000
0xed2c2cdec695be3a4dc421c1a8a6756dc5a927b6,4439000000000000000000,710000000000000000000,3729000000000000000000
0x3439ccc6b6fbbf3d3db4fb59f16e8c1c31ff142a,4471000000000000000000,715000000000000000000,3756000000000000000000
0x088ddc008952e8c208c9fe4ac635ededc5e480fd,4674000000000000000000,747000000000000000000,3927000000000000000000
0xe01782791b3986ad4bf1e6290a5e932011a54b83,4597000000000000000000,735000000000000000000,3862000000000000000000
0xcd81917ff5313d02d7da3d47a9afcd3f635c36e3,4362000000000000000000,697000000000000000000,3665000000000000000000
0x400e1caa1399e994d047fa5769958fc0e089cfe1,4335000000000000000000,693000000000000000000,3642000000000000000000
0xd2d70bda86d2c2a74a63a5229f01b70669f34988,4240000000000000000000,678000000000000000000,3562000000000000000000
0x11197272254ac4814828ad9c4571456b6483908d,3842000000000000000000,614000000000000000000,3228000000000000000000
0xcb726f13479963934e91b6f34b6e87ec69c21bb9,3937000000000000000000,629000000000000000000,3308000000000000000000
0x141f5f69bca4314b897d1da9e911d745474aa920,3842000000000000000000,614000000000000000000,3228000000000000000000
0x7605a685aaa76bc65ac6799627eca70d5966a10d,4011000000000000000000,641000000000000000000,3370000000000000000000
0x19af41b762ecdaaa98b8a1cfb272fccddd956c8f,3661000000000000000000,585000000000000000000,3076000000000000000000
0xbb518c7a5870317f2ddca6417deea7445f12c588,3693000000000000000000,590000000000000000000,3103000000000000000000
0x3b17973152eb015e21a03088fea0446009781fb4,3588000000000000000000,574000000000000000000,3014000000000000000000
0x78eac57063c209b0e977aa3f64ba9f89d8b2b1f1,3587000000000000000000,573000000000000000000,3014000000000000000000
0x923e249466077299a376bb9dd728234b7cf33f01,3714000000000000000000,594000000000000000000,3120000000000000000000
0xe0a4ee5eb2e12900d42c33aadcf19eb04e8ab266,3638000000000000000000,582000000000000000000,3056000000000000000000
0x85df0debb5758a2f282a1aace604ea0cd6337665,3677000000000000000000,588000000000000000000,3089000000000000000000
0x93047e729b95145ae77a25aa49bc9b0c04eb4b06,3574000000000000000000,571000000000000000000,3003000000000000000000
0x6e792e02f3b2ad9ddfebdd0fe1c2e90f4f46fbbf,3575000000000000000000,572000000000000000000,3003000000000000000000
0x21f4aa076e1cf8b458884d6baaee61eb4c1d65ad,3602000000000000000000,576000000000000000000,3026000000000000000000
0x90d4b737502b76b5f173d880e8150db59ce19c6f,3506000000000000000000,560000000000000000000,2946000000000000000000
0xd564656d4b3121b7ba11027cd72d40efcfabe652,3495000000000000000000,559000000000000000000,2936000000000000000000
0x1105ed9a0ef92cb38bfe604778bb65179d10e012,3503000000000000000000,560000000000000000000,2943000000000000000000
0x8ad19587a09580fbfca0bc31b99fa5f46080510a,3496000000000000000000,559000000000000000000,2937000000000000000000
0xbbeef5c4bd232010e68ee5191b6bc241608b24e2,3230000000000000000000,516000000000000000000,2714000000000000000000
0xd5f83f2d001ff45c472a6a44211697b3479101b9,3197000000000000000000,511000000000000000000,2686000000000000000000
0x082b24847001dfc8cef3ec3c46a048679af89a98,3201000000000000000000,512000000000000000000,2689000000000000000000
0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,3150000000000000000000,504000000000000000000,2646000000000000000000
0x8fb969555da7fd99c97ce8192abfbb5c0769ad38,3192000000000000000000,510000000000000000000,2682000000000000000000
0x2a7e86f90215062ad6aac678a3586b3bfc73cd9c,2985000000000000000000,477000000000000000000,2508000000000000000000
0xbd807532a452c08a6730587b73c5d23274877ba6,3022000000000000000000,483000000000000000000,2539000000000000000000
0x88599f664ae91dd8fc8bf82ed15323a94d594970,3071000000000000000000,491000000000000000000,2580000000000000000000
0xc6610a8a8a00180170745c9cc91e137f24e4cabe,2962000000000000000000,473000000000000000000,2489000000000000000000
0xe0c35d15d6ccbfaa97d61c7a315ad9d276c8777d,3025000000000000000000,484000000000000000000,2541000000000000000000
0x9af97dbc9ba27ce1342d9b2facd776df7d0d4f7b,3029000000000000000000,484000000000000000000,2545000000000000000000
0x3aa29481205c7f08d825e9eb90069bbbe5aff565,2931000000000000000000,468000000000000000000,2463000000000000000000
0xb4ad1b4ab790c5ef71698a73febdd6421dd25261,2892000000000000000000,462000000000000000000,2430000000000000000000
0x1546b970afc85bb7448b2c50504be0c4640408dd,2862000000000000000000,457000000000000000000,2405000000000000000000
0xeb4576fe753dab07635c0bb6c8f0a355e1db5d31,2945000000000000000000,471000000000000000000,2474000000000000000000
0x22d963dfd8d22adcd33957b5fdbdd9858cfdb82f,2822000000000000000000,451000000000000000000,2371000000000000000000
0x88ca682c8dd3f6ee798d1dfac3ac90799a54381c,2850000000000000000000,456000000000000000000,2394000000000000000000
0x569d327288d8354f16813afb01bba0e60c1301f9,2911000000000000000000,465000000000000000000,2446000000000000000000
0x9c70b1fd2843c70a60e8259e7e4e0d3a0191a731,2860000000000000000000,457000000000000000000,2403000000000000000000
0x4bb36beb6cc4b487dffbff987e36517dbb6182a0,2766000000000000000000,442000000000000000000,2324000000000000000000
0x17717025fe3d88e153983f20e3fe2025f9c58f61,2740000000000000000000,438000000000000000000,2302000000000000000000
0x299499a5abe68e71aa78a6d9b707df63125d917e,2815000000000000000000,450000000000000000000,2365000000000000000000
0xb1c0d822e2cd6d564d71b50aa02fdee9d198943e,2802000000000000000000,448000000000000000000,2354000000000000000000
0xe6730c324eed9eb55041cb6e1ce32ce677f9694b,2759000000000000000000,441000000000000000000,2318000000000000000000
0x3bd83fb2536f0a576282a127f805655f7d5ffd16,2682000000000000000000,429000000000000000000,2253000000000000000000
0x026242cccc8c6e1dd472e5273b1b4bdd1a45fcf5,2713000000000000000000,434000000000000000000,2279000000000000000000
0x7d9659c738db44f2355e15daa4d4f422449dd10e,2601000000000000000000,416000000000000000000,2185000000000000000000
0x0d31dc30948b425acc6428b6053b9addea265a83,2609000000000000000000,417000000000000000000,2192000000000000000000
0x4008efdc5039934b38d06d553b3c0bcb5ac1eb4f,2568000000000000000000,410000000000000000000,2158000000000000000000
0x4d0f4b3e47fc4cdfad942fb5e128bc933b20bd4a,2598000000000000000000,415000000000000000000,2183000000000000000000
0xc234a06b337b223679a4ee76e325542c5ba9573e,2525000000000000000000,404000000000000000000,2121000000000000000000
0xfdce5951f9c4a64c397ed3ba8ed6408e10df2b8c,2385000000000000000000,381000000000000000000,2004000000000000000000
0x71c6f6c3bc2e82bc17c83dc0f53b9035eb8041f7,2385000000000000000000,381000000000000000000,2004000000000000000000
0x23cf9e2695661ff0c39d8b2d5c04724558e59ed0,2341000000000000000000,374000000000000000000,1967000000000000000000
