address,amount
0xaadd767eef3e0064a7fb52924f62bba488edbefe,9995
0xc98408fe5832ea6be1d4f65ac32cd349f3e6eae1,9995
0x5816e4836e388c0b0b828d535d1e8ff127ce47ce,9992
0x724ddef3334ee466185647d457b63452ad1d35d8,9991
0x9aac9439cb8a93dc63ec4061a33bc31165643028,9991
0xe8ac77c476fb18d4712353459d1acd5ee7a8e7c5,9989
0x9fc1efb700f60bbf1e04d5fd570f740ae4596b35,9988
0xd3fd32e76a1ca37ec408aac47776b10fc099f841,9986
0x982227030fdd4b11bbb1e1a8d58930ce7771639e,9985
0x3313292de6c21a835f9006d4f89e1e8cbc471640,9984
0x616aaa76d0d3f35c769bd940157d3c7e8842ecf4,9981
0x7d584f99006c92712e60c4ccbbf7185dd581d4a6,9981
0xe8dc2b680f85d6ebae3bc142b0d9eefeb1328b63,9980
0xc6a50c7fc1536d3347995ff3addcc9b06ca766b4,9979
0x4c0cca1c5856d8337ce38b42120d0367c815c57e,9978
0x4c29f26b05ff64f8e7d46de04af10778648473f6,9977
0x6dc8851978254b11e4f36e074587b928d550e16c,9973
0x523577070b3e578b998c6592ea9429687cb0f90e,9972
0x52d25b66a203f63e635ac3e065eb37ab1791c6b2,9972
0x5bc7b531b1a8810c74e53c4b81cef4f8f911921f,9971
0x05f5a2ee83742350bac16c977101f0fb77c12cd8,9969
0xe51c890d5f23cb632ca79d8993479e6bbf8d7c81,9967
0x5a3a2fe2219cbc261be900c9ec094360d43621c0,9962
0x771f0d947010e8d76a2ead6efb1a20d968ccda22,9960
0x8adffb5cf4764dbe6238e1679192219cb4f21523,9959
0xc0b62f4c3dbf3a31a259d69e2527f8c41e5b834d,9959
0x91a9b4da163a1f248c92dbd262ad3e95e042c87e,9958
0x2dadcd5248fb059a47192b8b182c8811e0ecdc9e,9956
0x8c2dc9f798ff76bc3bb65da8db79a7cdd59a60fa,9953
0xa4ada63fa9417e00c2794cd51db7e9a6aaa473d9,9951
0xfc69c4f1ac1a89230f640e5b3d08ec9a79fa27a8,9950
0xd8363497827743da40f462ddfb8f8eccfb1e01f9,9949
0x33ba44313bcffa5dc7181b15b9def18910a6eda5,9949
0xf2aacdafd99385719937b874f24f12e551c25a9f,9948
0x2d067d8a9f1669fefa5d2243c6cef71ca3861e74,9948
0x8a0363ab3fad87cf32b081db68568f457e8d0d9e,9948
0x4010cc840168bdfebb2f7e9c1f77d5ea5c01c010,9948
0x11211e78c8747ea68f933c73959765242f309daa,9948
0xd4fd40e11af30830608b5425d48e0133b169c9b0,9943
0xb12e317269a9254d5e08e7af5270f2ad9ba00c3d,9943
0x9cdb2e41a8b6710d3ff85229a077309bf213505c,9943
0x2f8dbd944d2969cc7037549fed0bc44fefda1269,9941
0x96252d2668a48802907b42ebda1d070c987c3b6f,9937
0x1cf6f9c9e0d4a8b50175713d55ec4f2a21411050,9937
0x3771753501485717c91a204317dde629196db6e4,9936
0x9aee301d7b11a6dc7293b7b6ba5f11cd048590df,9936
0xfedd1a3535ebab7ebf16df16533c716874d4bf4a,9934
0x68916bd6b80ae8b778b21ea77e31dde1367db359,9933
0x9371b30a878c4acbadaac80b2e21f6600dc009e1,9933
0x21622724a77ed4d944c46a071eabd68f66a25952,9932
0x007bff38fce7fa2f96524d84b37fd7988c9c7885,9931
0xdaa3a5e781352af4e3e2644c424360cf2d3b9d67,9931
0x71afb75484eeb78043ebac2b59e10ab99bd569ff,9931
0x0e3eb4ec5d566ef5bc372a94883324db3c5b4e67,9930
0x125c459df3e8454b3c90462f5078c34182bd1312,9929
0xa1bf9b2c6eea3ef7620dd6e1ab42323bdf56631a,9927
0xebcab8684e756fb6aa0ba9a4eb99a0e9ef04f96c,9927
0x25486851f47b9d2e78dfe06c8577dd4c65612a34,9926
0x1c877fb9e58bf92d30444e7912a48fca1f9e91c4,9926
0x71296ef2dba2ac5176da6f8fd0c3351e68b66e3f,9926
0x5927d797b3476dae33b1bfd2713e2367ac24c6a3,9926
0x4c7656b072973f845aad436a454b3de7de1e20ea,9926
0x6174c4f0dd13cbf0a37728f8784acd0dd2e23e29,9924
0x136e387c08f45185387ef09fc8e62f42098d6642,9924
0x776eb59da6986215ae906b30e0a59b175a552332,9924
0x71c663e8342d088988bf8f463712f86f3996f00a,9923
0x09a054b60bd3b908791b55eee81b515b93831e99,9921
0x60a6a66d8aaafef11a218590fbc636b7d95fb5e8,9918
0x40bf4a91d53bb3797540ab8ca8f3048587876437,9917
0x14befd04de877d36f2ae2131221ba23f28f4607e,9916
0xdf3d0f22b4907aa2dd5f1f569fae2c50092e3366,9915
0x9cd7d1981b3e15a2dee4d512ac60e0579ae18546,9915
0x3e8c0905afff19044e29354d4d0424662231e56c,9914
0xb4b2a73e11aa14dd85a29c1af6170029e72c4ce9,9914
0xb41b5894db9ba3d7c13f344fabce203cadbd7a2b,9913
0x64cd4a1b4b2b23d9fb444593a3be8c0bab40876e,9913
0xa017ffcbbb47ef81008a167adc298590c0d86c61,9912
0x9873fa98b70a24148390332f2d139e330d24c965,9911
0x5d604827cd450847d7a516ceffd14a3a5519dd5d,9911
0xfe206b088615b1a475f56e020ae6bc7516bd3dc5,9910
0xe1f8b716e8dd0f48acf1d362c1a6a4a38b97a99d,9910
0x31169b93c8c9ba252da75581e6ab611e53836e52,9908
0xe9cc7a8826cb32e35983ba73a7fc28827be64353,9902
0x8715df83cbeb900fb442d757b9787b3a093b1326,9901
0x017c99629e00501561db309fb559ef37bcd7e491,9901
0xe5faf232eeb7d1bd2a791757b8c13f99acf6759b,9899
0xec4a321deb90b7aba480976e8f3b839854b37d2b,9898
0x89fb4c0aae568dd26ba354f07717285975bf7749,9896
0x0b5fda81e3ca586fc7ac663f85fcf827a12cc8c2,9896
0xb9c68fdfa387973e1634ccebaea92e01de4a22e6,9896
0x97c82dc57bf8dea4f996b2c8493345ac39989d3a,9895
0xcb49f52a2e10e0b1814d77fa5bfd9bbda7ba0483,9895
0x02f73b8e29dd6ec38bc5d8b3826051dc562c3060,9892
0xac1dcd1950ea857c87c0f1e6bc0b3d9a2d5f28aa,9891
0xcc1d1e75d5a79a0ad8d1a5d8608d8d7e8b3c157d,9891
0x09623217b16d777650feadd2f6a7df484a7c6fe7,9891
0x168c52bc7a10a68a68395b49c2d8a4722151d6e9,9890
0x899bbb7ab894afa81a5c4fa9722f834eafbfbeaa,9890
0x0b7310bb5915cd5361cb95de467e832086c455ab,9890
0x499cfcadbc1d19859e19670e762da4b05174124d,9889
0xada7b0a2c2c8f21d802bb419f574f6fa156833ce,9887
0x6bf3fbadad843c45691c23f46cafc5aa7ef0fe8a,9887
0x6a0820f00a3fc2f3c2bc8e54e7fe5f261825e049,9886
0x990a6d26919f48f650ba351e06a14097fc2dfd45,9886
0x0c2b55fae8de9b8b9dc89e521341a7316f4898a8,9886
0x33a64f59750d68944252b46187e1546e3500223b,9885
0x85c2e3de3c1ab4d152e69db533f0a5171ba6a2b0,9885
0xf117aeb3a34ba3af790b274979a68e6ffc394a30,9882
0xadaf8ae443487ec56a9edd9c605cb472c223e5fa,9882
0x9501391865bde3e6d3b13b905a1fa6d037cf4129,9880
0x174315412c747991d315d24db8278cfc287396e3,9880
0x10573ee38f09770d3de31d4e0a2d964f7b21b89e,9880
0xb76380ad1fbdfac9f37678bf337a9b1cdc9f4e3a,9880
0x20df1a557c11c40541232d02672e7f376bc789c8,9879
0x74f837e5e4c463a33401dffdd7453653ac0ff023,9879
0xba0c6adbc8f06d94fad0e6e8e571b237b2c6070b,9879
0x6fe361a731870c525c58f19372dac7c61eca046d,9879
0x86d7530b665be3d04faa63bd37246216c4b73e04,9879
0x8c0d6a1b2ef9983d9d22d197be078dce268de577,9879
0x6859ee59ea33d245e0f38eff02265397c5690606,9879
0xdcce8f72c00a5dba5b03263cdd7f4a6131e60e6c,9879
0xd830b3ac05a312ca8e77d69a2babeb88673fdb5d,9879
0x9b8c21879cfc139e29d449959befff5b60c65f48,9879
0xcd5d0ec170ae225ecd17d106e12d7e438cb573ee,9879
0x46fb16917b38f86ab128cc946b45b250261848ff,9876
0xfb2908e87264b4804b48320c3d5b05be3d709288,9876
0xb55292d8a52fc0f6ccdd85fd98591e6e892a6f07,9875
0x0dac87f0c417b645ccbca0dbceb3ab861c619d5e,9873
0xc56a111c561fbb7ebc835be828646d75b1270905,9872
0xf647f4918e52dba09dfc3ebcc01c8ae8d22b549c,9871
0xb9ad6d668d4cab4be5e6b037b50ac233afdc393e,9868
0x4cf100cce352029e726185980e4611de835d6c7b,9867
0xda62689c28dc85b1a078a8c2b8682304d97a5269,9865
0x501dedd778ff90d51031553dabc851d45c043f93,9865
0x6376e21fef600c53ea6e10cdc473e584c8382521,9864
0x83484d391e9a39dbe366eb150dea2278a2dfd490,9862
0x8954a36583851c1ebddcdfe242384b844864d02c,9861
0xaffdfa5baa193bcea578faff5391c1e5d1299ec0,9861
0xf996360f66dde37467c40180292d4caade463a23,9857
0xd2a94d9e74662c30609072fa51c39d3eff34c36c,9857
0x9de178c67c32b6dc3a21d8e7b66cf1953394492c,9856
0x5c8a7b88dd1d867b8ae773b3cbc3effc5d21081b,9856
0x035314dd3b693e68817fbef3df21a87523b36e4b,9853
0xde2a8e1c8cc5565ebcacbe2b155189c29d0eabf4,9853
0x57f495e7be0a4924d0d57e8ade16bbb2eb7bc398,9852
0xb5bbbd06ee592b74cd02fe5e9b2530f19b96bd66,9852
0x13697d73018ab78d9390a76661fc398f5b2bb5a4,9851
0xf63efaf9715bd085daa29a4420fdd039b55593d5,9851
0x899874160954492d6306cd33590eca28cb743d3d,9849
0x2f42b97b7753db7ffbfdf34269d370d99fa04c72,9849
0x58a7e64cb9f5de9632c4165dc100dcfb772671cb,9847
0x9c57027b1eca93093a6f446422c59c85a5a3fa52,9847
0x6f04db960c6afbf4cfe188211ef0ae6e221852bf,9844
0xe3557e84bd0247c09ec369d3c904e9dab87d60a7,9844
0x5debe624417ad237e97b1f0a5bd0021b09a58b7b,9844
0x1bcc3204865146efed1e92c5276137dd1f53e9cf,9842
0xb116d59d65eb80b7057d3aea7a79c77c4e819efe,9842
0xbcd6e9ecbae8c31a88fc04635a6025ba78e5a669,9841
0x2897958f27ef55067e39afd882f2f5695d266e98,9841
0x1b67e7af574131c065d0c13398ffa3befae40bcc,9838
0x4eebe9fb3998b1829ce480569b62e1a06d8659a5,9837
0x168e479851cf52e24c7544af9d3656bbf227b4f4,9837
0x34e040ae65e8cbfde0b8e2f8bbda396f8f05e46c,9836
0x1b2dab8062e1d7ea6d6bff01ae297fede19e3125,9833
0xb1425f23ea4885d749ff89f3a9481aa3085abc48,9831
0x2320797755b4d09c50cdfa8cdd435ba41679030e,9831
0xdc074f08c6a2971f57f22e40015bb38102f4d3e8,9829
0xc1a880d8e488c16541e76eda6e6ae9a1495f2dbf,9828
0x5c463a4ddfdcc3bceb98d5f65a4fb4b717153724,9827
0xbfa3d237dad9f5a67f255d9b94a7addbcf90d8da,9826
0x28c510fe7f4dd90b19646947b1ea575aede64f46,9825
0xd8037fdf0654e9282eabb05c1315d9e2f138db8d,9824
0x2494d78b4d5c38daff5eb24c8f9b2593308fbb10,9822
0x8965343b4d68dd6871da33a6dd25499dded4e51a,9822
0x243c8676b12e5336497100b51f1531ca5865b765,9822
0x8f0fd1ac45e93695fe63a4d7061c511753f0dd0d,9822
0x6dfcf32c34ea32d14ff72be1153d6271c5f24714,9822
0x6301d147fda12cfdbebb4bc4a2a8886ed6af226f,9820
0x06d75a4035e66f4a334ceac52c05a462c7f0b862,9819
0x1fd94028625142d11dbb8b279aa8e32edfd2574f,9817
0x2cf84968ab79a7812061b3bd4eb8bf9b03432744,9816
0x05d2e495b927bd007c07e8430f3988ad5039ee73,9813
0xd4118ba3793e1c20d6136bee2539ca011691d010,9812
0xf501bede770614a94890c85abf0195d2c975b140,9811
0xfc64410a03b205b995a9101f99a55026d8f1f1da,9806
0x9f89051ef10ee644a603ad066794219a3bcd6c33,9804
0xa4cbbfadd6ba8524b69619f34f15cb1efc7d7dba,9803
0x3625b26b0e08f80f722610cec4139ade86c4ae9b,9802
0x84e89efbead5707b3665707cd273704d36b3b98a,9797
0x518f39ac2c11a95e69ec3d62f41645ffba9e4388,9797
0xa77b2d68983b55a5cd5ab32c92434600d21aee9a,9797
0x127a3b3cfdeb00ddfd286b82c60f676d53606580,9796
0xc924e3bd69bce53e020c3a507d05a05eb406ca69,9796
0xa53eac9c76763e8bba0a96cbe2732910f335d031,9795
0x9f2e2e76dbc1452586895ab7308d44ed424d93ba,9795
0x704c2fcdd51fbe2e18e55f503cc4d69adfbdcc5c,9795
0x00c5cf4cf879d27446f41c4ea29f9081bca7aa4f,9794
0xe30b68875db700e5219bfa3f246b81028fc2dc53,9793
0xfd8c8e6f0a4e2c4ebed24f3a32d37c0385525c26,9792
0x2ab388396c654da41eb575468b71c37cc160acf6,9792
0x15186914a0251e66c1239177031a8a7237775f32,9791
0xe391243616c570fd63f723584236c7413fe361f5,9790
0xa4e04920fc8468cd3bfd98984b451137677e34e8,9788
0xc485a40c286182e4767d1cf382c382011dd82bf6,9786
0x56a00daa8ec50ca867cb1c68601b96bf1a84c540,9786
0xf4bda1bad1a6e20ed4c0f7d851b2838aec8461f3,9785
0x692d89622c3e6f36dd898fc32c6568ea0ed00cee,9784
0x738c1c23c16d769b74402017e4ecdfeb4fb1009d,9783
0xd35c02154222a376497552755d25a925850a86ef,9782
0x9f4566a2fb8bc939d378f72fa0782e540b07c44e,9782
0x1e7f9358f5da970aecd93f2c210a397c47f05b3a,9782
0x400d69ca658bbc50996a8988354ffe7393481fb8,9779
0xc7f3a66f240b174cd4687854bc5cb90b592a58d2,9777
0x0ec0557a70e05035ef2d2d8ff16b3ce08dbc824f,9776
0xc91e2876a6b11c26f614551f73ff17fd5f2905a1,9772
0xe9290b48dcb376e5436c68c457bcaf87a1130586,9772
0x3ea505938914422f59c4af566ebaf1dfc7f33bd8,9771
0x512b8ec1b2a00cd3482f91b97f236705c8819b90,9771
0x11fed49790fed912c20e16671c4b24105f7d5c42,9770
0x816a552dd77a14beffcd8dfc40a70a8f2ad3b0f2,9767
0x731a90e9fd93fc4217fe0679a82a4b8d090d8162,9765
0xbbaeb06aecf559789efe30d2a1ef62e18b84ff78,9764
0x8362cecbe8396fa5c6621f135a87af04647889a7,9760
